"country","year","deaths.per.1k","code","total.usd.2013","total.usd.2012","total.usd.2000","total.ppp.2013","total.ppp.2012","total.ppp.2000","govt.usd.2013","govt.usd.2012","govt.usd.2000","govt.ppp.2013","govt.ppp.2012","govt.ppp.2000","pct.deaths.5y","pct.pop.vaccinated","grouping","in.epi","PCV10.Price","PCV13.Price","gni.2012","gni.2013","sanitation.2012","sanitation.2013","birth.rate.2012","birth.rate.2013"
"Bhutan",2013,5.4,"BTN",90,90,52,275,264,193,66,66,41,203,194,153,28.6,NA,"Gavi Graduating","No",NA,NA,2320,2340,49.4,49.7,18.639,18.134
"Bolivia (Plurinational State of)",2013,6.5,"BOL",174,149,60,372,332,209,136,107,36,291,238,125,26.9,NA,"Gavi Graduating","Yes",NA,3.3,2280,2620,48.4,49.3,24.615,24.236
"Botswana",2013,5.8,"BWA",397,402,152,851,814,374,227,233,95,486,473,233,22.9,65,"","Yes",NA,NA,7190,7370,62.4,63.3,25.45,25.267
"Brazil",2013,1.2,"BRA",1085,1078,265,1454,1388,626,523,512,107,701,659,252,15.9,93,"In PAHO, but Self Procures PCV","Yes",6.97,NA,12020,12180,81.6,82.1,15.132,14.931
"Brunei Darussalam",2013,0.4,"BRN",974,946,543,1812,1678,1776,895,869,470,1664,1540,1536,8.5,NA,"","No",NA,NA,37320,NA,NA,NA,16.774,16.405
"Burkina Faso",2013,13.8,"BFA",46,40,12,109,95,43,27,23,5,64,56,17,18.6,NA,"Gavi","Yes",NA,3.3,640,690,18.6,19,41.105,40.551
"Burundi",2013,13.3,"BDI",21,21,7,62,62,29,12,13,2,34,38,9,26.2,96,"Gavi","Yes",NA,3.3,240,250,47.5,47.8,44.358,44.151
"Cabo Verde",2013,3.6,"CPV",165,163,59,279,291,144,121,118,43,206,211,105,26.8,NA,"","No",NA,NA,3470,3530,68.1,70.1,21.832,21.625
"Cambodia",2013,5.4,"KHM",76,69,17,229,209,63,16,14,4,47,41,14,28,NA,"Gavi","Yes",NA,3.3,880,960,37.2,39,24.812,24.462
"Cameroon",2013,14.1,"CMR",67,61,26,138,130,81,23,20,5,48,42,17,21.5,88,"Gavi","Yes",NA,3.3,1230,1290,45.2,45.4,37.724,37.236
"Canada",2013,0.1,"CAN",5718,5763,2100,4759,4610,2534,3991,4037,1477,3322,3229,1783,6.2,77,"","Yes",NA,NA,51030,52570,99.8,99.8,11,10.9
"Central African Republic",2013,23.2,"CAF",13,18,11,24,36,24,7,9,5,12,18,12,17.8,20,"Gavi","Yes",NA,3.3,480,310,21.5,21.6,34.349,34.076
"Chile",2013,0.3,"CHL",1204,1106,364,1678,1610,688,570,528,131,795,768,248,12.6,79,"Self Procure PCV","Yes",14.04,NA,14350,15270,98.8,99,13.566,13.385
"China",2013,1.5,"CHN",367,322,43,646,578,130,205,180,16,360,323,50,24.4,NA,"","No",NA,NA,5870,6710,73.1,74.2,12.1,12.08
"Comoros",2013,12.2,"COM",51,54,13,90,99,43,17,21,6,29,39,19,21.6,NA,"Gavi","No",NA,NA,770,790,34.2,35,34.718,34.326
"Congo",2013,6.6,"COG",131,125,22,242,228,78,101,99,13,187,180,45,15.9,85,"Gavi Graduating","Yes",NA,3.3,2510,2620,14.6,14.8,37.435,37.011
"Cote d'Ivoire",2013,13.3,"CIV",87,80,40,172,181,144,29,24,12,57,55,43,20,NA,"Gavi","Yes",NA,3.3,1260,1360,21.6,22,37.509,37.32
"Croatia",2013,0.2,"HRV",982,950,371,1517,1477,835,786,761,320,1214,1182,719,2,NA,"","No",NA,NA,13460,13460,97.1,97.1,9.8,9.4
"Cuba",2013,0.6,"CUB",603,558,166,1828,1745,537,561,526,151,1700,1642,487,12.3,NA,"Gavi Graduating","No",NA,NA,NA,NA,92.7,93.1,10.552,10.4
"Djibouti",2013,8.8,"DJI",137,139,44,247,252,96,82,83,30,148,150,65,23.9,82,"Gavi","Yes",NA,3.3,NA,NA,47.3,47.3,25.861,25.486
"Dominican Republic",2013,3.6,"DOM",315,310,173,631,607,362,164,158,60,329,309,125,25.8,NA,"PAHO RF","Yes",14.12,15.68,5680,5860,82.9,83.3,21.539,21.198
"Ecuador",2013,2.9,"ECU",431,361,53,789,671,208,225,162,16,412,301,65,18.4,90,"PAHO RF","Yes",14.12,15.68,5410,5810,82.8,83.8,21.354,21.07
"Egypt",2013,3.3,"EGY",151,158,80,539,532,337,62,62,33,219,208,136,19,NA,"","No",NA,NA,2850,3040,94.7,94.7,27.983,28.032
"Equatorial Guinea",2013,16,"GNQ",714,769,55,1170,1233,255,555,618,44,910,991,202,20.6,NA,"","No",NA,NA,12460,11890,74.9,74.5,35.695,35.362
"Estonia",2013,0.2,"EST",1072,994,214,1453,1416,511,835,783,165,1131,1115,395,13.5,NA,"","No",NA,NA,17040,18390,97.2,97.2,10.6,10.3
"Ethiopia",2013,11.2,"ETH",25,22,5,69,61,22,15,14,3,42,37,12,26.6,72,"Gavi","Yes",3.4,NA,410,470,24.3,25.5,33.456,32.925
"Fiji",2013,2.9,"FJI",189,184,80,328,306,211,127,122,67,221,202,176,19.6,87,"","Yes",NA,NA,4020,4660,91.1,91.1,20.846,20.463
"Finland",2013,0.1,"FIN",4449,4158,1700,3604,3497,1857,3349,3119,1212,2713,2623,1323,8.3,NA,"","Yes",NA,NA,48670,49050,97.6,97.6,11,10.7
"France",2013,0.1,"FRA",4864,4644,2209,4334,4213,2556,3771,3592,1754,3360,3259,2029,4.2,89,"","Yes",NA,NA,43030,43530,98.7,98.7,12.6,12.4
"Gabon",2013,7.3,"GAB",441,399,118,735,670,395,240,211,48,399,354,160,17.5,NA,"","Yes",NA,NA,9460,9910,41.4,41.6,30.875,30.555
"Gambia",2013,9.8,"GMB",29,31,23,99,98,45,17,19,8,59,59,15,17.4,98,"Gavi","Yes",NA,3.3,520,500,58.7,58.8,42.85,42.525
"Georgia",2013,1.1,"GEO",350,333,45,697,644,168,75,60,8,150,116,29,15.3,NA,"Gavi Graduating","Yes",3.4,NA,3860,4230,88.1,87.5,13.835,13.693
"Germany",2013,0.1,"DEU",5006,4717,2387,4812,4635,2682,3846,3618,1898,3696,3556,2133,4,68,"","Yes",NA,NA,46680,46390,99.2,99.2,8.4,8.3
"Ghana",2013,7.8,"GHA",100,86,12,214,195,82,60,59,6,130,133,41,17.7,89,"Gavi Graduating","Yes",NA,3.3,1570,1740,14.4,14.7,33.405,33.131
"Greece",2013,0.1,"GRC",2146,2070,918,2513,2355,1454,1492,1390,551,1747,1581,873,5.6,32,"","Yes",NA,NA,23860,22810,99,99,9.1,8.6
"Grenada",2013,0.7,"GRD",499,471,339,729,693,507,236,223,176,345,327,264,2.2,NA,"PAHO RF","No",NA,NA,7160,7450,98,98,19.414,19.334
"Guinea",2013,15.7,"GIN",25,22,12,59,56,31,9,9,4,21,22,10,16.5,NA,"Gavi","No",NA,NA,430,450,18.9,19.4,37.793,37.337
"Guinea-Bissau",2013,17.1,"GNB",32,31,16,79,79,57,6,8,2,16,19,6,18.4,NA,"Gavi","Yes",NA,3.3,580,570,20.2,20.5,37.863,37.503
"Guyana",2013,2.7,"GUY",250,235,56,426,404,235,165,155,47,282,267,199,15.5,96,"Gavi Graduating","Yes",NA,3.3,3600,3940,83.6,83.6,18.777,18.885
"Honduras",2013,2.5,"HND",196,221,76,400,425,183,96,98,41,197,189,99,18.8,87,"Gavi Graduating","Yes",NA,3.3,2200,2250,80,81.3,22.065,21.593
"Hungary",2013,0.3,"HUN",1056,999,326,1839,1766,853,671,625,230,1169,1105,603,9,92,"","Yes",NA,NA,12850,13350,98,98,9.1,9
"Iceland",2013,0,"ISL",4126,3850,2961,3646,3485,2765,3320,3100,2400,2933,2806,2241,0,89,"","Yes",NA,NA,40530,46350,98.8,98.8,14.1,13.4
"India",2013,8.5,"IND",61,58,20,215,196,89,20,18,5,69,60,24,25.3,NA,"Gavi","No",NA,NA,1500,1530,37.5,38.5,20.679,20.291
"Indonesia",2013,5.1,"IDN",107,108,15,293,273,86,42,43,6,114,108,31,28.8,NA,"Gavi Graduating","No",NA,NA,3580,3740,58.8,59.7,20.595,20.297
"Iran (Islamic Republic of)",2013,2.5,"IRN",432,485,229,1414,1218,390,176,196,95,577,492,162,30.5,NA,"","No",NA,NA,7010,7120,89.6,89.9,18.15,17.9
"Iraq",2013,5.1,"IRQ",305,282,7,695,629,16,194,171,0,441,381,1,29.5,NA,"","No",NA,NA,6130,6900,84.8,85.6,35.17,34.91
"Ireland",2013,0.1,"IRL",4233,4079,1593,3867,3817,1800,2864,2757,1181,2617,2580,1334,2.7,91,"","Yes",NA,NA,42160,44450,90.3,90.4,15.7,15
"Italy",2013,0.1,"ITA",3155,3114,1527,3126,3153,2031,2462,2408,1134,2439,2438,1507,2.1,NA,"","Yes",NA,NA,36000,35370,99.5,99.5,9,8.5
"Jamaica",2013,1.1,"JAM",305,302,189,512,437,354,174,175,100,293,253,186,15.6,70,"PAHO RF","Yes",14.12,15.68,5200,5250,81.7,81.8,14.53,13.54
"Jordan",2013,1.7,"JOR",336,351,171,761,828,593,222,241,82,502,568,285,19.2,NA,"","Yes",NA,NA,4660,4940,98.6,98.6,27.891,27.515
"Kazakhstan",2013,2.1,"KAZ",580,539,52,1023,974,327,308,301,27,544,544,167,25.4,52,"","Yes",NA,NA,9780,11560,97.5,97.5,22.69,22.73
"Kuwait",2013,0.8,"KWT",1507,1446,494,2375,2249,1685,1246,1197,377,1962,1861,1286,14.2,99,"GCC","Yes",NA,26.25,49600,52060,100,100,21.171,20.603
"Kyrgyzstan",2013,3.3,"KGZ",87,84,13,221,209,76,51,51,6,130,126,34,27,NA,"Gavi","Yes",NA,3.3,1040,1220,93,93.1,27.6,27.2
"Latvia",2013,0.3,"LVA",874,820,196,1310,1256,478,541,497,107,811,761,260,2.6,78,"","Yes",NA,NA,13790,14930,86.5,86.9,9.8,10.2
"Lesotho",2013,15.8,"LSO",123,138,29,297,295,90,98,108,14,235,232,45,17.5,NA,"Gavi","Yes",NA,3.3,1460,1550,29.3,29.8,28.753,28.738
"Liberia",2013,12.9,"LBR",44,39,11,88,75,22,16,13,3,32,26,5,18.9,NA,"Gavi","Yes",NA,3.3,340,370,16.1,16.4,36.024,35.521
"Libya",2013,1.1,"LBY",433,669,253,764,1173,721,304,470,123,537,824,351,15,98,"","Yes",NA,NA,10860,10520,96.6,96.6,21.9,21.425
"Lithuania",2013,0.3,"LTU",966,939,211,1579,1583,558,643,613,147,1051,1033,389,6.1,NA,"","Yes",NA,NA,13950,15140,91.2,91.6,10.2,10.1
"Luxembourg",2013,0,"LUX",7981,7551,3500,6518,6379,4047,6678,6302,2978,5454,5324,3443,4,95,"","Yes",NA,NA,73980,73510,97.6,97.6,11.3,11.3
"Malawi",2013,9.3,"MWI",26,32,9,90,91,30,13,18,4,45,51,14,17.6,89,"Gavi","Yes",NA,3.3,320,280,39.7,40.1,39.979,39.459
"Malaysia",2013,0.4,"MYS",423,418,122,938,894,378,232,231,68,514,494,211,10.9,NA,"","No",NA,NA,10200,10850,95.9,96,16.783,16.805
"Malta",2013,0.2,"MLT",2000,1857,656,2652,2530,1282,1321,1215,476,1753,1655,929,0,NA,"","No",NA,NA,20000,21000,100,100,9.8,9.5
"Marshall Islands",2013,6.4,"MHL",630,589,466,703,651,505,526,487,409,587,538,444,30.2,22,"","Yes",NA,NA,3940,4250,76.2,76.7,NA,NA
"Mauritania",2013,15.8,"MRT",48,44,25,NA,123,92,24,21,13,67,58,48,22.6,20,"Gavi","Yes",NA,3.3,1290,1330,38.2,39.5,34.207,33.801
"Mauritius",2013,1.8,"MUS",463,439,146,864,817,341,227,212,76,424,394,178,17,NA,"","No",NA,NA,9010,9580,93,93.2,11.5,10.9
"Micronesia (Federated States of)",2013,5.5,"FSM",407,404,170,448,447,197,368,365,159,404,404,185,28.9,61,"","Yes",NA,NA,3220,3280,57,57,23.528,23.511
"Mongolia",2013,3.6,"MNG",244,232,22,567,530,145,147,146,18,341,333,119,25.8,NA,"Gavi Graduating","No",NA,NA,3670,4360,57.9,58.5,24.378,24.275
"Montenegro",2013,0.2,"MNE",461,472,118,926,980,479,264,291,84,531,605,340,3.6,NA,"","No",NA,NA,7000,7330,94.6,95.1,12.025,11.808
"Morocco",2013,3.3,"MAR",189,181,54,438,430,149,64,64,16,149,153,44,26.5,80,"","Yes",NA,NA,2960,3080,75.6,76.5,21.187,21.023
"Nepal",2013,6,"NPL",39,36,12,135,118,68,17,14,3,58,47,17,29.7,NA,"Gavi","Yes",3.4,NA,690,730,41.1,42.6,21.455,20.923
"Netherlands",2013,0.1,"NLD",6145,5836,1932,5601,5395,2352,4907,4646,1219,4472,4295,1484,5.1,96,"In EPI Schedule","Yes",NA,NA,52500,52470,97.8,97.8,10.5,10.2
"New Zealand",2013,0.4,"NZL",4063,3954,1056,3405,3291,1614,3373,3279,824,2826,2729,1259,6.1,93,"","Yes",NA,NA,36320,39340,NA,NA,13.87,13.2
"Nicaragua",2013,3.9,"NIC",155,144,54,382,355,147,83,78,29,205,193,79,23.9,99,"Gavi Graduating","Yes",NA,3.3,1700,1790,66.8,67.8,21.24,20.788
"Nigeria",2013,21.1,"NGA",109.4,90.5,17.2,206.6,178.4,101.9,26.2,28.2,5.8,49.4,55.6,34.1,19,NA,"Gavi Graduating","Yes",3.4,NA,2470,2700,29.9,29.6,40.45,40.045
"Oman",2013,0.7,"OMN",678,605,273,796,710,678,542,486,223,637,571,554,13.5,99,"GCC","Yes",NA,26.25,18770,19280,96.7,96.7,20.81,20.419
"Pakistan",2013,12.6,"PAK",37,34,15,126,122,81,14,12,3,46,45,18,28.8,65,"Gavi","Yes",3.4,NA,1260,1360,58.3,60,29.848,29.582
"Palau",2013,1.4,"PLW",1008,976,908,1288,1310,1218,776,753,532,992,1011,713,14.5,99,"","Yes",NA,NA,9920,10000,100,100,12.7,13.1
"Panama",2013,2.5,"PAN",796,723,295,796,1299,613,544,496,201,544,892,417,22.4,47,"PAHO RF","Yes",14.12,15.68,9170,10860,73.4,73.9,19.941,19.68
"Papua New Guinea",2013,9.6,"PNG",94,97,26,114,108,59,75,78,21,92,86,48,24.6,NA,"Gavi Graduating","Yes",NA,3.3,1820,2040,18.9,18.9,29.318,28.899
"Paraguay",2013,2.4,"PRY",395,358,124,724,690,388,152,152,49,279,294,155,20.3,73,"PAHO RF","Yes",14.12,15.68,3430,4190,85.4,86.8,21.837,21.588
"Peru",2013,2,"PER",354,368,95,626,635,249,208,216,53,368,373,141,16.4,85,"PAHO RF","Yes",14.12,15.68,5650,6230,73.7,74.6,20.45,20.198
"Philippines",2013,5.4,"PHL",122,115,33,287,271,108,38,35,16,91,82,51,28.2,NA,"Other Price Point","Yes",14.98,15.64,3000,3340,71.8,72.5,24.041,23.79
"Portugal",2013,0.1,"PRT",2037,2000,1064,2508,2522,1652,1317,1280,708,1622,1615,1100,4.8,NA,"","No",NA,NA,21150,21340,99.5,99.6,8.5,7.9
"Republic of Moldova",2013,2.4,"MDA",263,241,23,553,498,122,121,110,11,255,227,59,21.9,1,"Gavi Graduating","Yes",NA,3.3,2140,2470,75.8,76.1,10.962,10.859
"Romania",2013,3.4,"ROU",504,468,73,988,982,248,402,375,59,788,788,201,48.5,NA,"","No",NA,NA,8750,9270,78.3,78.6,10,9.1
"Rwanda",2013,6.7,"RWA",71,70,9,162,158,26,41,41,3,95,93,10,26.1,99,"Gavi","Yes",NA,3.3,640,670,59.1,60,33.554,32.689
"Saint Lucia",2013,0.7,"LCA",621,573,272,898,829,419,344,307,143,496,444,220,5.9,NA,"PAHO RF","No",NA,NA,6960,7110,89.5,90,15.718,15.43
"Saint Vincent and the Grenadines",2013,1.1,"VCT",345,340,137,555,547,224,285,279,113,459,449,184,6.7,NA,"PAHO RF","No",NA,NA,6350,6540,NA,NA,16.574,16.306
"Samoa",2013,1.8,"WSM",271,243,80,379,337,185,242,214,61,340,297,142,14.4,NA,"","No",NA,NA,3860,3960,91.6,91.5,26.768,26.172
"San Marino",2013,0.2,"SMR",3847,3877,2166,3709,3819,2860,3380,3380,1860,3258,3330,2455,8.3,NA,"","No",NA,NA,NA,NA,NA,NA,9.7,9.4
"Sao Tome and Principe",2013,5.8,"STP",110,109,46,203,225,462,32,35,20,59,71,199,24.9,97,"Gavi","Yes",NA,3.3,1360,1540,34.4,34.5,34.98,34.537
"Saudi Arabia",2013,0.9,"SAU",808,992,396,1681,1990,1246,519,714,285,1079,1432,898,14,98,"GCC","Yes",NA,26.25,23690,25140,100,100,20.993,20.576
"Senegal",2013,9.1,"SEN",46,44,22,96,95,70,24,22,9,50,48,29,18.4,NA,"Gavi","Yes",NA,3.3,1040,1040,46.1,46.6,38.848,38.533
"Serbia",2013,0.3,"SRB",475,556,64,987,1242,395,287,340,43,597,760,266,11.6,NA,"","No",NA,NA,5700,6050,96.5,96.5,9.3,9.2
"Seychelles",2013,0.7,"SYC",551,502,356,937,998,705,507,467,292,862,928,578,10,NA,"","No",NA,NA,12200,13540,98.4,98.4,18.6,17.4
"Sierra Leone",2013,16.6,"SLE",96,69,21,228,175,110,14,12,6,33,31,32,19.6,92,"Gavi","Yes",NA,3.3,520,680,12.8,13,37.476,36.729
"Slovakia",2013,0.6,"SVK",1454,1377,208,2147,2065,605,1018,960,186,1503,1440,541,15.9,98,"","Yes",51.6308025443,74.3537691163,17450,17910,98.8,98.8,10.3,10.1
"Solomon Islands",2013,5.3,"SLB",100,101,48,106,112,62,94,95,45,100,106,59,29,NA,"Gavi Graduating","Yes",NA,3.3,1520,1830,28.9,29.2,31.25,30.578
"South Africa",2013,7.4,"ZAF",593,651,246,1121,1091,614,287,315,102,543,528,254,20.8,87,"Other Price Point","Yes",16.17,NA,7640,7410,64.7,65.3,21.1,20.883
"South Sudan",2013,20,"SSD",18,25,NA,52,52,NA,6,8,NA,18,17,NA,27.7,NA,"Gavi","No",NA,NA,820,970,6.6,6.7,37.511,37.126
"Spain",2013,0.1,"ESP",2581,2626,1045,2846,2925,1548,1818,1883,749,2004,2098,1108,3.9,NA,"","Yes",NA,NA,29850,29540,99.9,99.9,9.7,9.1
"Sri Lanka",2013,0.7,"LKA",102,88,32,304,270,149,45,34,16,134,105,72,10.5,NA,"Gavi Graduating","No",NA,NA,2910,3150,93.8,94.8,16.703,16.307
"Sudan",2013,14.6,"SDN",115,113,15,221,241,80,24,25,4,47,54,22,26.5,30,"Gavi","Yes",NA,3.3,1650,1670,23.5,23.6,33.915,33.477
"Suriname",2013,1.7,"SUR",445,437,167,744,720,684,315,302,89,527,497,365,19,NA,"PAHO RF","No",NA,NA,9070,9650,79.3,79.2,18.718,18.455
"Swaziland",2013,12.1,"SWZ",256,265,75,564,524,243,191,192,42,421,380,137,21.4,NA,"","Yes",NA,NA,3460,3680,57.5,57.5,30.41,30.093
"Sweden",2013,0.1,"SWE",5680,5293,2282,4244,4041,2292,4628,4301,1938,3458,3284,1946,7.9,98,"","Yes",NA,NA,58680,61340,99.3,99.3,11.9,11.8
"Switzerland",2013,0,"CHE",9276,9071,3541,6187,5992,3234,6122,5970,1963,4083,3944,1793,3.6,75,"","Yes",NA,NA,84590,88120,99.9,99.9,10.3,10.2
"Syrian Arab Republic",2013,1.1,"SYR",43,73,58,169,168,157,20,34,23,78,77,63,12.8,NA,"","No",NA,NA,NA,NA,95.7,95.7,24.225,23.662
"Tajikistan",2013,8.2,"TJK",70,61,7,170,151,44,21,18,1,52,44,9,28.5,NA,"Gavi","No",NA,NA,890,1000,94.4,94.7,30.826,30.792
"Thailand",2013,1.2,"THA",264,247,67,658,630,241,212,196,38,527,500,135,15.5,NA,"","No",NA,NA,5610,5840,93.2,93.1,11.281,11.041
"Timor-Leste",2013,11.4,"TLS",59,68,18,96,121,45,54,64,12,88,113,30,28.8,NA,"Gavi Graduating","No",NA,NA,3940,3680,39.8,40.1,38.985,38.419
"Togo",2013,12.8,"TGO",54,48,14,119,109,55,28,24,4,62,56,16,19.2,NA,"Gavi","Yes",NA,3.3,490,520,11.5,11.6,36.592,36.08
"Trinidad and Tobago",2013,1.7,"TTO",995,991,260,1663,1689,569,478,489,118,799,834,258,8.6,80,"PAHO RF","Yes",14.12,15.68,15390,16920,91.5,91.5,14.842,14.59
"Turkey",2013,0.7,"TUR",608,569,197,1053,971,437,470,437,124,815,745,275,18.4,97,"","Yes",NA,NA,10800,10970,93.7,94.1,17.375,17.085
"Turkmenistan",2013,9.3,"TKM",158,128,44,276,239,167,103,81,36,181,152,136,25.9,NA,"","No",NA,NA,5410,6880,NA,NA,21.505,21.322
"Tuvalu",2013,3.7,"TUV",704,559,161,663,491,268,704,559,161,663,490,268,24.3,NA,"","No",NA,NA,5650,5840,83.3,83.3,NA,NA
"Uganda",2013,10.2,"UGA",59,57,19,146,141,56,26,25,5,65,61,15,20.6,NA,"Gavi","Yes",3.4,NA,630,630,18.5,18.8,43.962,43.474
"United Arab Emirates",2013,0.3,"ARE",1569,1235,753,2233,1718,1882,1103,854,578,1570,1188,1444,9.3,99,"GCC","Yes",NA,26.25,40130,43440,97.5,97.5,11.273,11.044
"United Republic of Tanzania",2013,8,"TZA",49,42,10,126,117,27,18,16,4,46,46,12,21.8,80,"Gavi","Yes",NA,3.3,780,850,14,14.5,40.033,39.518
"United States of America",2013,0.2,"USA",9146,8845,4818,9146,8845,4818,4307,4153,2074,4307,4153,2074,6,92,"Other Price Point","Yes",NA,112.44,52530,53720,100,100,12.6,12.4
"Uruguay",2013,0.5,"URY",1431,1265,773,1715,1594,1123,1004,816,422,1203,1028,613,23.4,93,"PAHO RF","Yes",14.12,15.68,13910,15640,95.9,96.1,14.495,14.374
"Uzbekistan",2013,6.2,"UZB",120,110,29,330,306,103,61,56,14,168,156,49,26.4,NA,"Gavi Graduating","Yes",NA,3.3,1730,1940,100,100,21,22.5
"Vanuatu",2013,4,"VUT",123,116,52,115,106,79,108,100,40,101,92,61,16.3,NA,"","No",NA,NA,2950,3200,57.9,57.9,26.993,26.739
"Venezuela (Bolivarian Republic of)",2013,1.7,"VEN",520,618,273,656,871,653,141,200,113,178,282,271,16.2,NA,"PAHO RF","Yes",14.12,15.68,12500,NA,94,94.4,20.125,19.842
"Viet Nam",2013,3.3,"VNM",111,102,20,308,292,99,47,44,6,129,124,31,16.4,NA,"Gavi Graduating","No",NA,NA,1550,1740,73.1,74.7,17.424,17.318
"Yemen",2013,7.3,"YEM",74,76,26,200,218,149,19,21,14,50,60,80,29.3,88,"Gavi","Yes",NA,3.3,1180,1300,53.3,NA,33.481,32.947
"Zambia",2013,12.5,"ZMB",93,84,23,192,175,121,54,45,11,112,94,57,19.2,NA,"Gavi","Yes",3.4,NA,1650,1700,43.2,43.5,40.928,40.471
